key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp.keys,key_resp_3.keys,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,left,right,left_selected,right_selected,right_rew_dbl,left_rew_dbl,stim1,stim2,trigger_integer,block,trial_n,trial_id,right_rew,left_rew,typeOfChoice,correct,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.rt,key_resp_2.rt
,,,,right,0,27,27,27,1,y_4.png,g_4.png,y_4_d.png,g_4_d.png,37,34,4,1,41,4,28,568,3 7,3 4,3,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.482599999,
,,,,right,0,28,28,28,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,87,59,2,1,21,4,29,569,8 7,5 9,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.5288,
,,,,right,0,29,29,29,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,31,52,2,1,21,4,30,570,3 1,5 2,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.4829,
,,,,right,0,30,30,30,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,46,70,2,1,21,4,31,571,4 6,7 0,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.559900001,
,,,,left,0,31,31,31,1,g_4.png,p_4.png,g_4_d.png,p_4_d.png,51,70,1,2,12,4,32,572,5 1,7 0,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.8771,
,,,,right,0,32,32,32,1,g_4.png,y_4.png,g_4_d.png,y_4_d.png,35,68,1,4,14,4,33,573,3 5,6 8,3,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.609,
,,,,right,0,33,33,33,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,57,56,2,3,23,4,34,574,5 7,5 6,4,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.523,
,,,,right,0,34,34,34,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,29,68,2,3,23,4,35,575,2 9,6 8,4,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.6329,
,,,,left,0,35,35,35,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,28,48,4,3,43,4,36,576,2 8,4 8,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.4813,
,,,,left,0,36,36,36,1,y_4.png,b_4.png,y_4_d.png,b_4_d.png,46,42,4,3,43,4,37,577,4 6,4 2,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.501400001,
,,,,right,0,37,37,37,1,p_4.png,g_4.png,p_4_d.png,g_4_d.png,64,51,2,1,21,4,38,578,6 4,5 1,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.8303,
,,,,right,0,38,38,38,1,b_4.png,y_4.png,b_4_d.png,y_4_d.png,44,25,3,4,34,4,39,579,4 4,2 5,6,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.592,
,,,,left,0,39,39,39,1,y_4.png,p_4.png,y_4_d.png,p_4_d.png,55,41,4,2,42,4,40,580,5 5,4 1,5,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.8069,
,,,,left,0,40,40,40,1,b_4.png,p_4.png,b_4_d.png,p_4_d.png,60,62,3,2,32,4,41,581,6 0,6 2,4,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.8099,
,,,,left,0,41,41,41,1,y_4.png,p_4.png,y_4_d.png,p_4_d.png,62,45,4,2,42,4,42,582,6 2,4 5,5,1,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,0.9782,
,,,,right,0,42,42,42,1,p_4.png,b_4.png,p_4_d.png,b_4_d.png,61,58,2,3,23,4,43,583,6 1,5 8,4,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.0135,
,,,,left,0,43,43,43,1,g_4.png,y_4.png,g_4_d.png,y_4_d.png,35,70,1,4,14,4,44,584,3 5,7 0,3,0,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.188400001,
,,,,left,0,44,44,44,1,g_4.png,p_4.png,g_4_d.png,p_4_d.png,67,65,1,2,12,4,45,585,6 7,6 5,1,NA,s019,001,2022-06-16_14h51.55.487,online_task,2021.2.3,Win32,60.0528465,1.0379,
